,ambulancer,bikedir,bikeinjury,bikepos,crashgrp,crashloc,crashtype,development,drvrinjury,recordid,geocodio_AddressNumber,geocodio_Street,point_score
725,5,5,2,0.0,1,3,2,5,1,5ff16052173518e44d88dbac3c5691b4bf9807de,1915.0,Milton Rd,24.0
726,0,3,2,0.0,1,1,2,4,1,b263ac0a1c7921d232a2bc20dff65f0e0bac4135,2603.0,Tuckaseegee Rd,14.0
727,0,0,2,0.0,1,1,4,5,1,215995f6aeabf3dee0d92889a5648ee6ebe3b6b8,5314.0,N Tryon St,14.0
728,5,0,3,0.0,1,3,2,4,1,3501ec92768b99277524e87d0ba42765867fb996,1113.0,Justice Ave,19.0
729,5,3,2,5.0,2,1,2,5,0,939d79319d0d8842f040c49a2826f095e0e8f3a0,802.0,E Sugar Creek Rd,25.0
730,5,3,2,5.0,2,1,2,5,1,b35c6208d8f56754ee5c9d0ea295def69717eec4,6501.0,Morrison Bv,26.0
731,5,3,3,0.0,2,1,2,5,1,4265449d0d303d3a3fb093e3cb042970fdf83d92,8416.0,University City Bv,22.0
732,5,3,3,5.0,2,1,2,4,1,d409c03243c8ee829796c52043254a92b4961c34,6508.0,Quail Hollow Rd,26.0
733,5,3,2,5.0,4,1,5,5,1,f9faf0154817f8c157410140a57f1a9aaf1a4c97,5424.0,Rozzelles Ferry Rd,31.0
734,5,3,2,0.0,1,1,2,5,1,b58367b9deecff902e8a4f27b705ffa835f2e84d,3020.0,Statesville Ave,20.0
735,0,3,1,5.0,2,3,2,5,1,fe4ecc28c2560ba60677dcf9c3247bc140e8218d,1619.0,E Bv,22.0
736,0,3,3,0.0,1,1,2,5,1,29e6934de9a81f20191dd5864ad125646bef6ade,3020.0,Statesville Ave,16.0
737,5,5,2,0.0,1,3,0,5,1,8ef6965bb9c7287eef3f2d70d36ae10c527bb628,1415.0,Central Ave,22.0
738,0,5,3,0.0,2,1,2,5,0,198cc96cbdf0103527a1788d00cfc7d75a9cf8ef,3100.0,N Tryon St,18.0
739,5,5,3,5.0,2,1,2,4,1,4ae8fbb277cdd57d10143d373b2c117415de9998,4640.0,Mullens Ford Rd,28.0
740,0,3,3,5.0,0,1,0,4,1,708033f8c0126e80b12aba7de4ffc778eb4af3af,9305.0,Baybrook Ln,17.0
741,5,3,3,5.0,4,3,1,4,3,facdee8ddd3b417797c0e43c2b813ae1452f957a,12414.0,Caldwell Rd,31.0
742,5,0,2,0.0,1,3,2,5,1,fb1cde874c2c3754a076bea64a48945f58746853,1418.0,Beatties Ford Rd,19.0
743,5,5,2,0.0,1,3,2,5,1,419b4da38313420452a2c52908bd569585e72bcc,119.0,N Sharon Amity Rd,24.0
744,5,3,2,0.0,2,1,2,5,1,cca5e2735a0b3eb7f6bdf683a1e0261b282d740c,1200.0,Beatties Ford Rd,21.0
745,0,5,3,0.0,1,3,2,5,0,65fd6b7326ae5d17ec70df7d0b59272ae954c810,2507.0,N Tryon St,19.0
746,5,5,2,0.0,1,3,2,5,1,e7dbe01760ce7d304de8d43c554b1195e07721c4,4837.0,N Tryon St,24.0
747,5,3,3,5.0,2,1,2,4,1,71ba6954f03bfe74a320ade0a3f0af4e48b30c4e,12523.0,Long Cove Dr,26.0
748,0,3,3,5.0,4,3,4,5,0,62fac1cf06b61f300c6ff40fbcc2e0c483bb72ce,2922.0,N Tryon St,27.0
749,5,3,2,5.0,1,1,2,5,1,f4be15d220680aaef54d5945b1af3676b4b5c4e3,139.0,E Tremont Ave,25.0
750,5,3,3,5.0,2,1,2,4,1,25818629f25fa0a26a3246773c498fceaee5688e,3058.0,Morning Dr,26.0
751,5,5,3,0.0,1,3,2,5,1,70685f010df87fb3cd77bb4f358f8f364fd9e47b,126.0,E 4th St,25.0
752,5,3,3,5.0,4,3,1,5,1,deb9a7a0d422566456036dc88eb1fc65c58413a7,4203.0,Wilkinson Bv,30.0
753,5,5,3,0.0,2,1,2,4,1,18d51179ee808726b796506ee0744622d85df738,305.0,E Arrowood Rd,23.0
754,5,5,3,5.0,2,1,2,4,1,8cbdd25624091d38e602d663f2e207434b69b0b2,5027.0,Highlake Dr,28.0
755,0,3,3,5.0,1,3,2,4,1,eafe91355cf5cac6772df182e4bd9bef4e14906e,3605.0,Colony Rd,22.0
756,0,5,3,5.0,2,1,2,5,1,fbcd196216e2743f04d4161ae68710ad3621a187,6506.0,Fairview Rd,24.0
