,Unnamed: 0,streetname,startstreet,endstreet,segment_score,road_ids,address_nos,yelp_ids,yelp_address_nos,accident_count,business_count
77,77,Broad Hollow Dr,4500,5000,22,['4580e0da040613d42ce4fb26ba0f95c65512234c'],[4900.0],[],[],1,0
78,78,Brookwood Rd,2000,2500,24,['fe32566b5bd3a380e62687f90d730f595552d8f0'],[2238.0],[],[],1,0
79,79,Brookwood Rd,2500,3000,0,[],[],[],[],0,0
80,80,Brown-grier Rd,13000,13500,24,['b74781656d506af0b0966de7c980bfc4bfc5f9bc'],[13106.0],[],[],1,0
81,81,Brown-grier Rd,13500,14000,25,['14964f12659ab27d0183218c1ec607d8005a80f0'],[13962.0],[],[],1,0
82,82,Browne Rd,8000,8500,0,[],[],[],[],0,0
83,83,Browne Rd,8500,9000,20,['afae397c5c16cf2acb9f98e6eac8cae55de95abb'],[8530.0],[],[],1,0
84,84,Burton St,1000,1500,0,[],[],[],[],0,0
85,85,Burton St,1500,2000,23,['1236e8f16f17592aa9945463fa248979b53425f3'],[1501.0],[],[],1,0
86,86,Caldwell Rd,12000,12500,31,['facdee8ddd3b417797c0e43c2b813ae1452f957a'],[12414.0],[],[],1,0
87,87,Caldwell Rd,12500,13000,0,[],[],[],[],0,0
88,88,Cambridge Commons Dr,7000,7500,0,[],[],[],[],0,0
89,89,Cambridge Commons Dr,7500,8000,23,['87a72b9399bfd33885045c803260e0cbffcc0b27'],[7920.0],[],[],1,0
90,90,Camden Rd,1000,1500,0,[],[],[],[],0,0
91,91,Camden Rd,1500,2000,68,"['3a91dadabdb62d964503619bfd970cf23fc70c97', 'ca09f724eb47d24ba22976ccbb7db44e249b52c0']","[1544.0, 1605.0]","['cwCLcQns_SSExsBCzWNQDA', 'kNwfUukvLd3q38PX0QEDDQ', 'ALwAlxItASeEs2vYAeLXHA', '8xTuXU5uZ85WF-ZGqDNv_w', '_5UAFrD3EDgJO1aZgRxH7w', 'NbrXg59fYR3MoeXdeAIQIQ']","[1537.0, 1750.0, 1525.0, 1616.0, 1614.0, 1930.0]",2,6
92,92,Camp Greene St,1000,1500,0,[],[],[],[],0,0
