,streetname,startstreet,endstreet
532,N Sharon Amity Rd,3100,3600
533,N Sharon Amity Rd,3600,4100
534,N Sharon Amity Rd,4100,4600
535,N Sharon Amity Rd,4600,5100
536,N Sharon Amity Rd,5100,5600
537,N Sharon Amity Rd,5600,6100
538,N Tryon St,100,600
539,N Tryon St,600,1100
540,N Tryon St,1100,1600
541,N Tryon St,1600,2100
542,N Tryon St,2100,2600
543,N Tryon St,2600,3100
544,N Tryon St,3100,3600
545,N Tryon St,3600,4100
546,N Tryon St,4100,4600
547,N Tryon St,4600,5100
548,N Tryon St,5100,5600
549,N Tryon St,5600,6100
550,N Tryon St,6100,6600
551,N Tryon St,6600,7100
552,N Tryon St,7100,7600
553,N Tryon St,7600,8100
554,N Tryon St,8100,8600
555,N Tryon St,8600,9100
556,N Tryon St,9100,9600
557,N Tryon St,9600,10100
558,N Wendover Rd,100,600
559,N Wendover Rd,600,1100
560,N Wendover Rd,1100,1600
561,N Wendover Rd,1600,2100
562,Narayan St,4000,4500
563,Narayan St,4500,5000
564,Nations Ford Rd,6000,6500
565,Nations Ford Rd,6500,7000
566,Nelson Ave,100,600
567,Nelson Ave,600,1100
568,Nevin Rd,4000,4500
569,Nevin Rd,4500,5000
570,Nobles Ave,3000,3500
571,Nobles Ave,3500,4000
572,Nolen Park Ln,2000,2500
573,Nolen Park Ln,2500,3000
574,Oak Pasture Ln,5000,5500
575,Oak Pasture Ln,5500,6000
576,Oaklawn Ave,1000,1500
577,Oaklawn Ave,1500,2000
578,Old Concord Rd,5000,5500
579,Old Concord Rd,5500,6000
580,Old Concord Rd,6000,6500
581,Old Concord Rd,6500,7000
582,Old Concord Rd,7000,7500
583,Old Concord Rd,7500,8000
584,Old Concord Rd,8000,8500
585,Old Concord Rd,8500,9000
586,Old Concord Rd,9000,9500
587,Old Concord Rd,9500,10000
588,Old Concord Rd,10000,10500
589,Old Concord Rd,10500,11000
590,Old Pineville Rd,4000,4500
591,Old Pineville Rd,4500,5000
592,Old Pineville Rd,5000,5500
593,Old Pineville Rd,5500,6000
594,Old Pineville Rd,6000,6500
595,Old Pineville Rd,6500,7000
